premium,name,department,has_test,response_letter_required,area,address,employer,snippet,schedule,working_time_intervals,accept_temporary,professional_roles,experience,employment,key_skills,average_salary,min_salary,max_salary,hours_since_publication
False,Data Scientist [Machine Learning Engineer],,False,False,Москва,,Диплей,"{'requirement': 'Уметь делать выводы из анализа данных. Уверенное знание основ <highlighttext>ML</highlighttext> (опыт раскатки всего пайплайна). Выявлять взаимосвязи и структуры в данных...', 'responsibility': '...аналитики данных и мониторинга работы <highlighttext>ML</highlighttext>-моделей и AI-систем. Построение, тестирование и внедрение предиктивных <highlighttext>ML</highlighttext> моделей. Оценка компетенций и...'}",Удаленная работа,,False,Дата-сайентист,От 3 до 6 лет,Полная занятость,"['EDA', 'ML', 'Python', 'R']",,,,628
False,AI Engineer,,False,False,Минск,"{'city': 'Минск', 'street': 'улица Пономаренко', 'building': '6А', 'lat': 53.894315, 'lng': 27.493415, 'description': None, 'raw': 'Минск, улица Пономаренко, 6А', 'metro': None, 'metro_stations': [], 'id': '16407831'}",Хьюман Аппс/ Human Apps,"{'requirement': 'Опыт работы с Linux и Bash. Уверенное владение инструментами разработки на Python, такими как виртуальные окружения, установщики пакетов и системы...', 'responsibility': 'Fine-tuning нейронных сетей на основе классических алгоритмов <highlighttext>ML</highlighttext> и Deep Learning. Обработкой графической информации с использованием глубокого машинного обучения. '}",Полный день,,False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,"['Python', 'Linux', 'SQL', 'AWS', 'Docker', 'Kubernetes', 'Bash', 'PostgreSQL', 'CI/CD', 'Nginx', 'FastAPI', 'MLflow', 'API', 'GitHub', 'Английский язык', 'TensorFlow', 'PyTorch', 'RabbitMQ', 'OpenCV']",,,,8
False,Senior/ Middle Python Developer (ML),,False,False,Москва,,Ecom.tech,"{'requirement': 'Опыт разработки на Python от 3-х лет. Использование контейнеризации (Docker, Kubernetes). Понимание концепций DevOps и CI/CD. ', 'responsibility': 'На данной позиции необходимо разрабатывать и принимать участие в разработке <highlighttext>ML</highlighttext>-микросервисов в существующем стеке, а также прорабатывать архитектуру, интеграции...'}",Полный день,,False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,"['Python', 'FastAPI', 'Apache Airflow', 'Apache Kafka', 'PostgreSQL', 'SQL', 'Код-ревью', 'Apache Hive', 'Kubernetes', 'Gitlab', 'CI/CD']",,,,264
False,Data analyst/Аналитик данных (стажер),,False,False,Минск,,Aston,"{'requirement': 'Знание Python, знание SQL. Навыки работы с визуализацией данных и инструментами BI, такими как Tableau, Power BI или другими подобными. ', 'responsibility': 'Лаборатория (стажировка) - теоретико-практическая подготовка к работе на коммерческом проекте: Теоретическое обучение по плану с еженедельными проверками освоения материала.'}",Удаленная работа,,False,"BI-аналитик, аналитик данных",Нет опыта,Стажировка,"['Python', 'SQL', 'Big Data', 'Data Analysis', 'Power BI', 'ORACLE', 'Databases', 'ML', 'Анализ данных', 'Математический анализ', 'Математическая статистика', 'Статистика', 'Классическое машинное обучение']",,,,676
False,Data Scientist (Global Markets),Сбер для экспертов,False,False,Москва,,СБЕР,"{'requirement': 'Опыт работы с <highlighttext>ML</highlighttext> на табличных данных(от 1 года). * Опыт работы и глубокое понимание классического <highlighttext>ML</highlighttext> (Sklearn, CatBoost, etc...', 'responsibility': 'Наша команда решает очень широкий спектр DS-задач с применением самых передовых <highlighttext>ML</highlighttext>/DL алгоритмов и инструментов. Все задачи внутри...'}",Полный день,,False,Аналитик,От 3 до 6 лет,Полная занятость,[],,,,146
False,Site Reliability Engineer (SRE),,False,False,Омск,"{'city': 'Омск', 'street': 'улица Гагарина', 'building': '14', 'lat': 54.987813, 'lng': 73.376836, 'description': None, 'raw': 'Омск, улица Гагарина, 14', 'metro': None, 'metro_stations': [], 'id': '13874252'}",Т-Банк,"{'requirement': 'Есть опыт работы c:', 'responsibility': 'Главная задача SRE — бесперебойная работа сервисов. Вторая задача SRE — автоматизация своей работы. Неплохо ориентируешься в IT: сети, работа с данными...'}",Полный день,,False,DevOps-инженер,От 1 года до 3 лет,Полная занятость,"['Linux', 'Python', 'PostgreSQL', 'Git', 'Go', 'Ansible', 'Jenkins', 'GitLab CI', 'Docker', 'Kubernetes']",,,,468
False,Руководитель направления Моделирование рисков корпоративного кредитования (CV engineer),,False,False,Москва,,Банк ДОМ.РФ,"{'requirement': 'Знание алгоритмов детекции объектов, instance сегментации, семантической сегментации. Знание классических <highlighttext>ML</highlighttext> алгоритмов. Будет плюсом: опыт подготовки в полном цикле подготовки...', 'responsibility': 'Разработка системы видео-аналитики на основании информации с объектов строительства. Декомпозиция запросов бизнеса в технические задачи. Разработка и поддержка, подготовка...'}",Полный день,,False,Другое,От 3 до 6 лет,Полная занятость,"['Computer Vision', 'Python', 'SQL', 'OpenCV', 'PyTorch', 'Git', 'ML']",,,,433
False,Senior ML-инженер,,True,False,Москва,"{'city': 'Москва', 'street': 'Большой Кисловский переулок', 'building': '13', 'lat': 55.755333, 'lng': 37.606397, 'description': None, 'raw': 'Москва, Большой Кисловский переулок, 13', 'metro': {'station_name': 'Охотный ряд', 'line_name': 'Сокольническая', 'station_id': '1.98', 'line_id': '1', 'lat': 55.757228, 'lng': 37.615078}, 'metro_stations': [{'station_name': 'Охотный ряд', 'line_name': 'Сокольническая', 'station_id': '1.98', 'line_id': '1', 'lat': 55.757228, 'lng': 37.615078}], 'id': '14026'}",Московская Биржа,"{'requirement': 'Высшее образование в области машинного обучения, статистики, математики, экономики, финансов. Опыт работы с финансовыми данными и знание основ финансового анализа. ', 'responsibility': 'Мы следим за тем, чтобы все операции соответствовали правилам торгов и требованиям регуляторов. Разработка и внедрение <highlighttext>ML</highlighttext>-моделей для финансового...'}",Полный день,,False,Дата-сайентист,От 3 до 6 лет,Полная занятость,"['Python', 'PyTorch', 'TensorFlow', 'SQL', 'ORACLE', 'AutoML']",,,,27
False,Site Reliability Engineer,,False,False,Рязань,,Т-Банк,"{'requirement': 'Разделяете принцип проактивности: лучше предотвратить сбой, чем потом его устранять. Понимаете принципы построения CI/CD-пайплайнов и IaC-подхода.', 'responsibility': 'Разрабатывать инструменты для повышения надежности информационных систем. Участвовать в устранении сбоев и расследовании их причин. Повышать Observability приложений. '}",Полный день,,False,DevOps-инженер,От 3 до 6 лет,Полная занятость,"['Linux', 'Python', 'Docker', 'Kubernetes', 'Ansible', 'DevOps']",,,,536
False,Data Science Tech Lead,,False,False,Москва,,Health & Nutrition,"{'requirement': 'Глубокие знания в области информационной безопасности и защиты данных (в разрезе <highlighttext>ML</highlighttext>, DS и Gen AI). Опыт работы с языковыми...', 'responsibility': '...Gen AI на бизнес в компании. Проводить оценки безопасности развернутых <highlighttext>ML</highlighttext>-моделей и связанных с ними данных, выявлять потенциальные уязвимости...'}",Полный день,,False,Дата-сайентист,От 3 до 6 лет,Полная занятость,"['Big Data', 'Gen AI', 'Machine Learning', 'Data Science', 'Python']",,,,290
